NO,시장명,소재지도로명주소,위도,경도,시/도,시/군/구
864,문경시장,충청북도 충주시 무학1길 15,36.9747142,127.9268133,충청북도 ,충주시
865,음성시장,충청북도 음성군 읍 시장로 117번길 6,36.9766498,127.5981698,충청북도 ,음성군
866,연수상가,충청북도 충주시 번영대로 125,36.9874783,127.9316176,충청북도 ,충주시
867,연원시장,충청북도 충주시 금곡로 31,36.9892735,127.9348963,충청북도 ,충주시
868,무등시장,충청북도 음성군 금왕읍 무극로 308번길 12-12,36.9903717,127.5682604,충청북도 ,음성군
869,후암시장,서울특별시 용산구 한강대로 104길 77,35.8752635,128.603315,서울특별시 ,용산구
870,태안특산물전통시장,충청남도 태안군 태안읍 시장4길 18,36.7513159,126.2985476,충청남도 ,태안군
871,태안서부재래시장,충청남도 태안군 태안읍 시장2길 32-7,36.7529764,126.2968313,충청남도 ,태안군
872,음성무극시장,충청북도 음성군 금왕읍 무극로308번길 5-2,36.7644278,127.9962335,충청북도 ,음성군
873,서부시장,충청남도 서산시 시장5로 15,36.7818589,126.4561164,충청남도 ,서산시
874,온양온천시장(온양전통시장),충청남도 아산시 시장길29,36.7834046,127.0044286,충청남도 ,아산시
875,지귀시장,충청북도 증평군 증평읍 장뜰로 58-1,36.7834061,127.5829582,충청북도 ,증평군
876,남산중앙시장,충청남도 천안시 동남구 사직동 263,36.8002767,127.1486538,충청남도 ,천안시
877,천일시장,충청남도 천안시 동남구 큰시장길 29,36.8024129,127.1499749,충청남도 ,천안시
878,의정부시장,경기도 의정부시 의정부1동 148-5,37.7394397,127.0511616,경기도 ,의정부시
879,덕산그린피아상가,경상남도 창원시 성산구 용지로 64,36.6567468,128.4560308,경상남도 ,창원시
880,양곡종합상가,경상남도 창원시 성산구 신촌로102,36.6567468,128.4560308,경상남도 ,창원시
881,상남시장,경상남도 창원시 성산구 마디미로28,36.6567468,128.4560308,경상남도 ,창원시
882,거제고현시장,경상남도 거제시 중앙로 1883-2,36.6567468,128.4560308,경상남도 ,거제시
883,중앙시장,경기도 평택시 중앙시장로 18-4,37.900152,127.0502495,경기도 ,평택시
884,봉일천시장,경기도 파주시 조리읍 봉천로 33-1,37.900512,127.0502495,경기도 ,파주시
885,북수원시장,경기도 수원시 장안구 파장로 82번길 9,37.9064753,127.0536925,경기도 ,수원시
886,미래타운A상가,경기도 성남시 분당구 불정로386번길 10 미래타운A상가,37.9064753,127.0536925,경기도 ,성남시
887,범한프라자시장,경기도 성남시 분당구 불정로376번길 37(서현동),37.9064753,127.0536925,경기도 ,성남시
888,미금현대벤처빌시장,경기도 성남시 분당구 돌마로90번길 8,37.9064753,127.0536925,경기도 ,성남시
889,청구문화시장,경기도 성남시 분당구 내정로165번길 38,37.9064753,127.0536925,경기도 ,성남시
890,남양주장현 전통시장,경기도 남양주시 진접읍 장현로 77의100,37.9064753,127.0536925,경기도 ,남양주시
891,홍천시장,강원도 홍천군 홍천읍 홍천로7길 14,37.9064753,127.0536925,강원도 ,홍천군
892,묵호시장,강원도 동해시 일출로 59-1,37.9064753,127.0536925,강원도 ,동해시
